Transparent Silicone-Molar,Black Silicone-Canine,White Gypsum-Molar,White Gypsum-Canine,Green Gypsum-Molar,Gree Gypsum-Canine,Acrylic-Molar,Acrylic-Canine
2.00E-05,1.00E-05,2.10E-04,3.00E-05,0,0,4.30E-04,2.30E-04
3.00E-05,1.00E-05,3.20E-04,4.00E-05,6.40E-04,3.10E-04,6.60E-04,3.90E-04
5.00E-05,1.00E-05,4.70E-04,7.00E-05,0.00129,6.30E-04,9.60E-04,6.10E-04
8.00E-05,2.00E-05,6.80E-04,1.10E-04,0.00197,9.60E-04,0.00138,9.00E-04
1.30E-04,4.00E-05,9.70E-04,1.70E-04,0.00266,0.0013,0.00193,0.0013
2.00E-04,6.00E-05,0.00135,2.50E-04,0.00336,0.00166,0.00267,0.00185
3.00E-04,9.00E-05,0.00187,3.70E-04,0.00408,0.00203,0.00364,0.00258
4.50E-04,1.40E-04,0.00257,5.50E-04,0.00482,0.00241,0.0049,0.00355
6.80E-04,2.10E-04,0.00349,8.00E-04,0.00558,0.0028,0.00654,0.00484
1.00E-03,3.20E-04,0.0047,0.00116,0.00635,0.00321,0.00864,0.00652
0.00147,4.90E-04,0.00628,0.00166,0.00714,0.00363,0.01133,0.0087
0.00212,7.40E-04,0.00831,0.00235,0.00794,0.00406,0.01473,0.0115
0.00303,0.0011,0.0109,0.00329,0.00876,0.0045,0.01901,0.01509
0.0043,0.00162,0.0142,0.00457,0.0096,0.00496,0.02435,0.01964
0.00603,0.00236,0.01833,0.00629,0.01045,0.00543,0.03095,0.02535
0.00836,0.0034,0.02348,0.00856,0.01132,0.00591,0.03905,0.03247
0.01149,0.00485,0.02984,0.01155,0.0122,0.00641,0.04893,0.04127
0.01562,0.00684,0.03761,0.01543,0.01309,0.00692,0.06086,0.05205
0.02103,0.00954,0.04702,0.02041,0.014,0.00744,0.07516,0.06515
0.02801,0.01315,0.05832,0.02674,0.01492,0.00798,0.09217,0.08094
0.03694,0.01793,0.07176,0.03469,0.01586,0.00853,0.11223,0.0998
0.04822,0.02418,0.0876,0.04457,0.01681,0.00909,0.13568,0.12213
0.0623,0.03224,0.10608,0.05671,0.01777,0.00967,0.16289,0.14835
0.07969,0.0425,0.12744,0.07146,0.01874,0.01025,0.19418,0.17885
0.10089,0.05541,0.15188,0.08918,0.01972,0.01085,0.22986,0.21402
0.12644,0.07142,0.17958,0.11021,0.02072,0.01146,0.27019,0.2542
0.15686,0.09105,0.21063,0.13489,0.02172,0.01209,0.31537,0.29968
